date_col,id_type_compteur,old_index,new_index,quantite_consommee,id_appareil_old_hash,id_appareil_new_hash
00:00.0,1_2,44850.566,44850.781,0.21600001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44850.781,44851.055,0.27000001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44851.055,44851.188,0.13600001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44851.188,44851.289,0.098999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44851.289,44851.387,0.1,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44851.387,44851.492,0.106,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44851.492,44851.609,0.117,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44851.609,44851.73,0.121,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44851.73,44851.844,0.111,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44851.844,44851.949,0.106,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44851.949,44852.051,0.101,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44852.051,44852.156,0.106,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44846.242,44846.332,0.090999998,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44846.332,44846.457,0.124,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44846.457,44846.586,0.13,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
