"","DateTime","Day-Ahead","hour","year","day"
"441",2023-01-19 08:00:00,155.88,8,2023,19
"442",2023-01-19 09:00:00,154.81,9,2023,19
"443",2023-01-19 10:00:00,138.63,10,2023,19
"444",2023-01-19 11:00:00,146.47,11,2023,19
"445",2023-01-19 12:00:00,151.16,12,2023,19
"446",2023-01-19 13:00:00,155.35,13,2023,19
"447",2023-01-19 14:00:00,170.33,14,2023,19
"448",2023-01-19 15:00:00,180.33,15,2023,19
"449",2023-01-19 16:00:00,173.75,16,2023,19
"450",2023-01-19 17:00:00,156.61,17,2023,19
"451",2023-01-19 18:00:00,151.55,18,2023,19
"452",2023-01-19 19:00:00,145.65,19,2023,19
"453",2023-01-19 20:00:00,143.66,20,2023,19
"454",2023-01-19 21:00:00,119,21,2023,19
"455",2023-01-19 22:00:00,106.21,22,2023,19
"456",2023-01-19 23:00:00,108.11,23,2023,19
"457",2023-01-20,108.16,0,2023,20
"458",2023-01-20 01:00:00,108.13,1,2023,20
"459",2023-01-20 02:00:00,108.12,2,2023,20
"460",2023-01-20 03:00:00,108.16,3,2023,20
"461",2023-01-20 04:00:00,145.79,4,2023,20
"462",2023-01-20 05:00:00,171.79,5,2023,20
"463",2023-01-20 06:00:00,199.12,6,2023,20
"464",2023-01-20 07:00:00,229.42,7,2023,20
"465",2023-01-20 08:00:00,216.38,8,2023,20
"466",2023-01-20 09:00:00,204.73,9,2023,20
"467",2023-01-20 10:00:00,196.69,10,2023,20
"468",2023-01-20 11:00:00,189.26,11,2023,20
"469",2023-01-20 12:00:00,181.63,12,2023,20
"470",2023-01-20 13:00:00,182.36,13,2023,20
"471",2023-01-20 14:00:00,187.39,14,2023,20
"472",2023-01-20 15:00:00,195.2,15,2023,20
"473",2023-01-20 16:00:00,203.22,16,2023,20
"474",2023-01-20 17:00:00,203.4,17,2023,20
"475",2023-01-20 18:00:00,145.05,18,2023,20
"476",2023-01-20 19:00:00,120.75,19,2023,20
"477",2023-01-20 20:00:00,157.11,20,2023,20
"478",2023-01-20 21:00:00,151,21,2023,20
"479",2023-01-20 22:00:00,108.13,22,2023,20
"480",2023-01-20 23:00:00,123.01,23,2023,20
"481",2023-01-21,107.89,0,2023,21
"482",2023-01-21 01:00:00,104.99,1,2023,21
"483",2023-01-21 02:00:00,97.57,2,2023,21
"484",2023-01-21 03:00:00,103.04,3,2023,21
"485",2023-01-21 04:00:00,98.75,4,2023,21
"486",2023-01-21 05:00:00,80.14,5,2023,21
"487",2023-01-21 06:00:00,96.38,6,2023,21
"488",2023-01-21 07:00:00,142.84,7,2023,21
"489",2023-01-21 08:00:00,167.54,8,2023,21
"490",2023-01-21 09:00:00,161.29,9,2023,21
"491",2023-01-21 10:00:00,151.92,10,2023,21
"492",2023-01-21 11:00:00,142.89,11,2023,21
"493",2023-01-21 12:00:00,131.06,12,2023,21
"494",2023-01-21 13:00:00,131.22,13,2023,21
"495",2023-01-21 14:00:00,132.64,14,2023,21
"496",2023-01-21 15:00:00,140.76,15,2023,21
"497",2023-01-21 16:00:00,173.92,16,2023,21
"498",2023-01-21 17:00:00,174.6,17,2023,21
"499",2023-01-21 18:00:00,140.08,18,2023,21
"500",2023-01-21 19:00:00,134.51,19,2023,21
"501",2023-01-21 20:00:00,129.34,20,2023,21
"502",2023-01-21 21:00:00,107.87,21,2023,21
"503",2023-01-21 22:00:00,89.92,22,2023,21
"504",2023-01-21 23:00:00,79.4,23,2023,21
"505",2023-01-22,79.17,0,2023,22
"506",2023-01-22 01:00:00,80,1,2023,22
"507",2023-01-22 02:00:00,81.43,2,2023,22
"508",2023-01-22 03:00:00,81.94,3,2023,22
"509",2023-01-22 04:00:00,108.59,4,2023,22
"510",2023-01-22 05:00:00,62.25,5,2023,22
"511",2023-01-22 06:00:00,64.92,6,2023,22
"512",2023-01-22 07:00:00,86.01,7,2023,22
"513",2023-01-22 08:00:00,120.99,8,2023,22
"514",2023-01-22 09:00:00,137.64,9,2023,22
"515",2023-01-22 10:00:00,124.39,10,2023,22
"516",2023-01-22 11:00:00,108.59,11,2023,22
"517",2023-01-22 12:00:00,119.98,12,2023,22
"518",2023-01-22 13:00:00,151.19,13,2023,22
"519",2023-01-22 14:00:00,153.71,14,2023,22
"520",2023-01-22 15:00:00,171.03,15,2023,22
